"Question","Answer","Confidence","Quote","Standard","Criteria","Project","Target date","Run"
"Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","No relevant evidence found.","","No quote found","K57","Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","1","2025-06-13","1"
"Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","No relevant evidence found.","","No quote found","K57","Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","1","2025-06-13","3"
"Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","No relevant evidence found.","","No quote found","K57","Use file 1.txt ONLY to document evidence on K57: Explains approaches to data processing and storage, database systems, data warehousing and online analytical processing, data-driven decision making and the good use of evidence and analytics in making choices and decisions. . nan. None","1","2025-06-13","2"
"Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","No relevant evidence found.","","No quote found","S12","Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","1","2025-06-13","1"
"Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","No relevant evidence found.","","No quote found","S12","Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","1","2025-06-13","2"
"Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","No relevant evidence found.","","No quote found","S12","Use file 1.txt ONLY to document evidence on S12: Demonstrates the use of core technical concepts for digital and technology solutions, including:
- Plans, designs and manages simple computer networks. (S12). nan. None","1","2025-06-13","3"
"Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","No relevant evidence found.","","No quote found","K11","Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","1","2025-06-13","1"
"Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","No relevant evidence found.","","No quote found","K11","Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","1","2025-06-13","2"
"Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","No relevant evidence found.","","No quote found","K11","Use file 1.txt ONLY to document evidence on K11: Critically evaluates the nature and scope of common vulnerabilities in digital and technology solutions . nan. None","1","2025-06-13","3"
"Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","No relevant evidence found.","","No quote found","S9","Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","1","2025-06-20","1"
