Question,Answer,Confidence,Source,Index,Case,Level 1 LoE Function,Level 2 LoE Function,Line of Enquiry (Level 1),
Is the analysis of the military capability gap and/or business capability gap suitably evidenced to inform the need/case for change?,"Here is an analysis of whether the provided text sufficiently evidences a capability gap:

**Military Capability Gap:**

*   **Evidence explanation:** The requirement for replacement capabilities has been well-documented through successive defence reviews, indicating a recognized strategic military need. This implies a documented gap in existing or future (until OSD) capabilities.
*   **Evidence text:** ""5. The military capability requirement for a replacement DELIVERABLE for PROGRAMME has been well -documented through successive defence reviews.""
    *Confidence: 80%*

**Business Capability Gap / Suitability of MOTS Solutions:**

*   **Evidence explanation:** There is an analysis that some elements may not be suitable for MOTS solutions, suggesting a gap in finding readily available commercial off-the-shelf capabilities. Planning considerations have been adjusted to allow industry time and flexibility.
*   **Evidence text:** ""designed to allow Military Off The Shelf (MOTS) solutions to be considered , elements may not be suitable for MOTS and planning has allowed for sufficient time and flexibility for Industry to offer and deliver an appropriate solution .""
    *Confidence: 90%*

**Business Capability / Suitability Analysis & Mitigation Strategy:**

*   **Evidence explanation:** The review of requirements considers the latest planning assumptions, which have matured. Changes in these assumptions necessitate adjustments to how the capability gap is addressed and allow for a wider range of transfer options.
*   **Evidence text:** ""9. The requirement has been reviewed against the latest planning assumptions... Collectively, these change the requirement and allow consideration of a greater range of transfer options...""
    *Confidence: 85%*

**Summary Confidence Assessment:** [Confidence: 80-90%]",90.0,,1,Strategic,MoD - Military Capability Management,Capability Analysis,Is the military capability need and/or business capability need (inc. Transformation) suitably evidenced and prioritised within departmental planning?,
Is the military capability gap and/or business capability gap to be addressed suitably defined?,"Here's a breakdown based on the provided context:

1.  **Military Capability Gap:**
    *   Evidence explanation: Modifications will be developed to address minor capability shortfalls identified when comparing the Product Line version against Key User Requirements (KURs). The technical risk associated with these modifications stems from potential immaturity in integrating existing high-maturity technologies, but this is mitigated by parallel development.
    *   Evidence text: ""When assessed against the KURs, the Product Line version had a number of minor shortfalls... SUPPLIER have agreed to develop a small number of modifications to introduce additional capabilities to mitigate the gaps."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]
    *   Confidence level that the evidence is adequate and sufficient: [Confidence: 70%] (The text confirms minor gaps exist and agreed actions are taken, but doesn't detail what specific capabilities are missing or how they were identified).
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]

2.  **Business Capability Gap / Relevance:**
    *   Evidence explanation: The need to ensure the UK capability remains relevant out to OSD involves participating in collaborative development programs alongside other nations or suppliers.
    *   Evidence text: ""With regard to the need to ensure that the UK capability remains relevant... this business case seeks approval to participate in the collaborative development of a number of..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]
    *   Confidence level that the evidence is adequate and sufficient: [Confidence: 70%] (The text confirms participation is needed for relevance, but doesn't explicitly state if all relevant gaps are suitably defined or what specific capabilities require collaborative development).
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]

3.  **Overall Requirement Definition and Mitigation Planning:**
    *   Evidence explanation: The requirement has been reviewed against current planning assumptions, which have evolved significantly since the initial assessment (due to other programs entering service). These changes affect how KURs are met and allow for more flexible transfer options.
    *   Evidence text: ""The requirement has been reviewed against the latest planning assumptions... There have been significant changes in key assumptions... Collectively, these change the requirement..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>] and ""...the capability could be met by"" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>].
    *   Confidence level that the evidence is adequate and sufficient: [Confidence: 80%] (The text shows a review process against assumptions, acknowledges changes impacting requirements, and outlines mitigation strategies like configuration alignment and capability tailoring).
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>], [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]",80.0,"20250609-Anonymised_OBC_2_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf",2, ,MoD - Military Capability Management,Capability Analysis,Is the military capability need and/or business capability need (inc. Transformation) suitably evidenced and prioritised within departmental planning?,
Is there evidence that SMART objectives and business need have been derived from a case-for-change workshop with relevant stakeholders,"Here is the response:

-   **Evidence explanation:** The text mentions industrial participants providing responses to a non-disclosure paper drafted during Market Engagement (OBC). It also explicitly states integration workshops are being provided, involving stakeholders. Furthermore, Lessons Learned from an Assessment Phase are used to inform Minimum Viable Products requirements.
-   **Evidence text:**
    *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]` ""Industrial Participants provided thorough responses under cover of a Non-Disclosure""
    *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]` ""are already heavily engaged with stakeholder s and in the provision of integration workshops.""
    *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250611-Anonymised_RN_3_FINAL.pdf"" target=""_blank"">20250611-Anonymised_RN_3_FINAL.pdf</a>]` ""LFE from the Assessment Phase ... is informing what the Minimum Viable Products will need to be.""
-   **Confidence level:** [Confidence: 80%]
-   **Source reference(s):**
    *   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]
    *   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
    *   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250611-Anonymised_RN_3_FINAL.pdf"" target=""_blank"">20250611-Anonymised_RN_3_FINAL.pdf</a>]",80.0,"20250604-Anonymised_OBC_1_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250611-Anonymised_RN_3_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250611-Anonymised_RN_3_FINAL.pdf",3,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the military capability need and/or business capability need (inc. Transformation) suitably evidenced and prioritised within departmental planning?,
Is there evidence of the military capability or business capability need being include within FLC/TLB plans?,"Here is a breakdown based on the provided context:

-   **Evidence explanation:** This indicates that initial support requirements (until specific contract expiry) have been included within the FBC plan value. It also shows consideration of future support needs being managed separately via follow-on contracts and inclusion of costs for capital spares/provisioning.
    **Evidence text:** ""DELIVERABLE Support Main Gate Business Case, valued at approximately £ XXXX . This value covers the support for NAME OF PROJECT up until the expiry of the DELIVERABLES In-Service Support ( ISS) contract s on DATE . Support after this point will be included in follow -on support contract approvals. In additi on to this, £ XXXX (ESP CDEL) has been included within the FBC est imate. This value covers the Capital Spares and Initial Provisioning of the NAME OF PROJECT DELIVERABLE.""
    **Confidence:** [Confidence: 90%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_4_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_4_FINAL.pdf</a>]

-   **Evidence explanation:** This suggests that the business case (FBC) has considered changes in planning assumptions and their impact on requirements, indicating an attempt to integrate evolving needs into the plan.
    **Evidence text:** ""designed to allow Military Off The Shelf (MOTS) solutions to be considered , elements may not be suitable for MOTS and planning has allowed for sufficient time and flexibility for Industry to offer and deliver an appropriate solution . 9. The requirement has been reviewed against the latest planning assumptions. ... There have been significant changes in key assumptions as other programmes have entered service and Defence Planning Assumptions ( DPAs ) have matured. Collectively, these change the requirement...""
    **Confidence:** [Confidence: 80%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]

-   **Evidence explanation:** This shows consideration of future capability enhancement and sustainment, linking ongoing R&D needs (beyond the initial FMS case) to a roadmap intended for inclusion within plans like FLC/TLB.
    **Evidence text:** ""34. Capability Enhancement and Sustainment. ... A Technology Management Roadmap has been developed which identifies requirements for and implementing the further R&D... Both independent UK technology development and collaboration with the COUNTRY will provide the means to mitigate current and future Risks to the capability.""
    **Confidence:** [Confidence: 70%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]",90.0,"20250610-Anonymised_FBC_4_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf",4,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the military capability need and/or business capability need (inc. Transformation) suitably evidenced and prioritised within departmental planning?,
Is there evidence of the military capability or business capability need being given priority within FLC/TLB plans?,"Here is the analysis:

1.  **Evidence explanation:** The text indicates a focus on essential capabilities by reducing the scope of deliverables, which aligns with prioritizing military need over unnecessary expenditure or overly prescriptive details. It explicitly mentions MOTS solutions and flexibility for industry delivery as part of this refined requirement.
    **Evidence text:** ""The operating model used to drive down requirements and deliver smaller, more available DELIVERABLES . The scenarios cannot be met with two DELIVERABLES and KURs are driven by a three DELIVERABLE model. More widely there would also be a significant loss of incentive to industry to bid, or invest in UK capability, if the volume was reduced.""
    **Confidence:** [Confidence: 70%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]

2.  **Evidence explanation:** The review focused significantly on elements that presented technical challenge and risk, suggesting these aspects were considered essential or prioritized in defining the requirement.
    **Evidence text:** ""The cancelation of the previous competition has allowed a wholesale review of the requirement with particular focus on those elements that drove the DELIVERABLE dimensions , presented technical challenge and risk.""
    **Confidence:** [Confidence: 60%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]

3.  **Evidence explanation:** The emphasis on affordability, managing costs through underspend utilization, contract efficiencies, and presenting a viable Full Business Case (FBC) indicates prioritization of ensuring the capability is deliverable within budgetary constraints.
    **Evidence text:**
        *   ""There is no intention to spend beyond the agreed provision and an affordable FBC will be presented.""
        *   ""The significant risks to delivery at Annex G centre around affordability .""
        *   ""Defence Planning Assumptions ( DPAs ) have matured. Collectively, these change the requirement... with a result that the capability could be met by...""
    **Confidence:** [Confidence: 80%]
    **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>] and [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_OBC_4_FINAL.pdf"" target=""_blank"">20250610-Anonymised_OBC_4_FINAL.pdf</a>]

Overall confidence that military/business capability needs are prioritized in the FLC/TLB plans derived from these points is high, as they show a clear effort to refine requirements by focusing on essential deliverables (MOTS flexibility), addressing technical/risk elements directly, and ensuring affordability.",80.0,"20250604-Anonymised_OBC_1_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250610-Anonymised_OBC_4_FINAL.pdf",5,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the military capability need and/or business capability need (inc. Transformation) suitably evidenced and prioritised within departmental planning?,
Is there evidence that all relevant requirement stakeholders have been identified?,"- **Evidence explanation:** The documents mention incorporating inputs from other programmes and multiple discussions with the programme team. However, they do not explicitly state whether all relevant stakeholders have been identified or confirm completeness of stakeholder identification across all areas (Operational Effects, UK Assessment, Mitigation).
- **Evidence text:**
    *   ""Support requirements, LFE and inputs from other programmes have also been incorporated"" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>].
    *   ""The Delivery Team (DT) have determined that the most effective means of..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>] - This implies DT involvement, but doesn't confirm stakeholder completeness.
- **Confidence level:** [Confidence: Insufficient]
- Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>], [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>], [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]",,"20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf, 20250609-Anonymised_OBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf",6,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the approach to managing the requirement set and solution acceptance suitably defined?,
Is there evidence demonstrating that a systematic approach has been/will be taken to requirement set development and releted risk management?,"Here is evidence demonstrating a systematic approach:

*   **Evidence explanation:** This indicates structured planning documents were developed and implemented for stakeholder management and delivery assurance.
    *   **Evidence text:** ""A Project Management Plan (PMP) and Stakeholder Management and Governance Strategy have been produced and are actively employed to ensure all Stakeholders are identified and that the PT correctly understand and employ a defined process towards delivery of the requirement.""
    *   [Confidence: 70%]
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

*   **Evidence explanation:** This shows specific tools and processes were established for identifying, assigning responsibility to, and mitigating risks.
    *   **Evidence text:** ""Programme and DLOD-level risks are managed via SYSTEMS risk register where all high-level risks are assigned a risk owner and appropriate risk mitigations. Risks, Assumptions, Dependencies, Issues & Opportunities (RAIDO) Working Groups with all DLODs are held regularly.""
    *   [Confidence: 80%]
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

*   **Evidence explanation:** This demonstrates a structured schedule management process, including risk analysis and its application to the financial case.
    *   **Evidence text:** ""Schedule Risk Analysis has been undertaken and has been used to inform the FBC.""
    *   [Confidence: 65%]
    *   Source reference(s): [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]",80.0,"20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf",7,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the approach to managing the requirement set and solution acceptance suitably defined?,
Is there evidence that the necessary human resource and requirement management tools are in place/will be in place to enable effective requirement and acceptance management?,"Here is the analysis:

1.  **Evidence explanation:** Mentions collaboration with suppliers (for pre-delivery T&E) and another company (for consultancy support), but does not explicitly state that dedicated internal human resources or specific tools are allocated *by* the customer organization specifically for requirement management during development. It focuses on leveraging external inputs.
    **Evidence text:** ""An Integrated Test & Evaluation Plan (ITEAP) has been developed... supplier led T&E effort pre-delivery will therefore focus on..."" and ""...support this capability. As part of a wider review ORGANISATION have submitted their requirements to feed into...""
    [Confidence: 30%]
    [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

2.  **Evidence explanation:** Describes the process for developing and managing sustainment requirements, including initial creation by DT (likely Defence Technical) with COMPANY support, ongoing reviews, and incorporating inputs from other programs. This implies a structured approach exists or will be established.
    **Evidence text:** ""The PROGRAMME Sustainment requirements were initially developed... using the Support SoR that was developed by the DT, and with COMPANY consultancy support.""
    [Confidence: 50%]
    [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]

3.  **Evidence explanation:** Refers to the use of an Integrated Test & Evaluation Plan (ITEAP) for acceptance purposes, developed by ORGANISATION and used in First-of-Class Trials (FoCT). This indicates a specific tool or process exists/has been developed for managing acceptance criteria.
    **Evidence text:** ""c. Acceptance and Development... using Integrated Test, Evaluation and Acceptance Plan (ITEAP)... The customer will prioritise which other capability interfaces will be physically trialled during the C apability Development and Integration Period (CDIP).""
    [Confidence: 50%]
    [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]",50.0,"20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf",8,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the approach to managing the requirement set and solution acceptance suitably defined?,
"Is there evidence of a suitable plan for managing the requirements, related risks and acceptance for the next phase, and across DLODs.","Here is the analysis:

**Evidence explanation:**
1.  There are formal management plans documented (Annex M) designed to ensure delivery against programme milestones.
2.  Risks are formally managed using a centralised risk register, assigned owners, and discussed at Programme Boards.

**Evidence text:**
- ""The PROGRAMME NAME  Programme has a variety of Management Plans to ensure delivery of programme milestones , captured in Annex  M.""
- ""Programme and DLOD-level risks are managed via SYSTEMS risk register where all high-level risks are assigned a risk owner and appropriate risk mitigations. Risks, Assumptions, Dependencies, Issues & Opportunities (RAIDO) Working Groups with all DLODs are held regularly . All Programme Risks are discussed at Programme Boards.""

**Confidence level that the evidence is adequate and sufficient:**
[Confidence: 80%]

**Source reference(s):**
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]",80.0,20250610-Anonymised_FBC_2_FINAL.pdf,9,Strategic,MoD - Military Capability Management,Requirement Engineering / Management,Is the approach to managing the requirement set and solution acceptance suitably defined?,
Is there evidence of a suitable plan for consideration of integration/interoperability with all other relevant capabilities?,"Here is a summary of evidence related to capability integration planning:

- Evidence explanation: Describes the management prioritizing early core development milestones with specialist support (RN), mentions ongoing recruitment using established methods (FBC), and refers to the Capability Integration Plan managed by CTIWG with formal reviews (OBC). This indicates structured plans for integration are being developed or implemented.
- Evidence text:
  - ""Separate contracting of a product agnostic ‘Integrating Authority’... The FBC will explore these options...""
  - ""The programme has prioritised early milestones relating to development of the core and is drawing on specialist support from REDACTED.""
  - ""Capability integration across DLoDs is being managed through a Capability Transition and Integration Working Group (CTIWG) and will be reviewed by bi-annual pan-stakeholder Project Boards. This includes a Capability Roadmap...""
  - ""...implementation of FCR has ensured the required SQEP resource is affordable through-life.""
- Confidence level: [Confidence: 85%]
- Source reference(s): 
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250611-Anonymised_RN_3_FINAL.pdf"" target=""_blank"">20250611-Anonymised_RN_3_FINAL.pdf</a>], [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>], [Source: 20250907-Anonymised_OBC_2_FINAL.txt]",85.0,"20250611-Anonymised_RN_3_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf",10,Strategic,MoD - Military Capability Management,Multi-Domain Integration,Is the approach to managing the requirement set and solution acceptance suitably defined?,
