|    | Unnamed: 0   | Unnamed: 1   | Unnamed: 2       | Unnamed: 3   | Unnamed: 4   | Unnamed: 5    |   Unnamed: 6 |   Unnamed: 7 | Unnamed: 8       |   Unnamed: 9 |   Unnamed: 10 | Unnamed: 11   | Unnamed: 12   | REQ       | REQ        | PO        | PO         | GR        | Invoiced   |
|    |              |              |                  |              |              |               |              |              |                  |              |               |               |               | Value     | Quantity   | Value     | Quantity   | Value     | Value      |
|---:|:-------------|:-------------|:-----------------|:-------------|:-------------|:--------------|-------------:|-------------:|:-----------------|-------------:|--------------:|:--------------|:--------------|:----------|:-----------|:----------|:-----------|:----------|:-----------|
|  0 | PO           | PO Item      | PO Delivery Date | REQ          | REQ Item     | nan           |          nan |          nan | REQ Status       |          nan |           nan | Vendor        | nan           | £         | EA         | £         | EA         | £         | £          |
|  1 | 1971498872   | 50           | 30.06.2021       | 5059045036   | 1            | Contract 1    |          nan |          nan | Released         |          nan |           nan | 5491910645    | Supplier 1    | 60000     | 60000      | 60000     | 60000      | 60000     | 60000      |
|  2 | 1971498872   | 150          | 28.02.2022       | 5059344985   | 1            | Contract 1.1  |          nan |          nan | Released         |          nan |           nan | 5491910645    | Supplier 1    | 205317    | 205317     | 205317    | 205317     | 205317    | 205317     |
|  3 | 1971498872   | 250          | 31.03.2022       | 5059751190   | 1            | Contract 1.2  |          nan |          nan | Released         |          nan |           nan | 5491910645    | Supplier 1    | 76922     | 76922      | 76922     | 76922      | 76922     | 76922      |
|  4 | 1971498872   | 350          | 30.04.2022       | 5059725515   | 1            | Contract 1.3  |          nan |          nan | Released         |          nan |           nan | 5491910645    | Supplier 1    | 75000     | 75000      | 75000     | 75000      | 75000     | 75000      |
|  5 | 1971498872   | 450          | 30.08.2022       | 5059493184   | 1            | Contract 1.4  |          nan |          nan | Awaiting Release |          nan |           nan | 5491910645    | Supplier 1    | 176709.24 | 176709     | 176709.24 | 176709     | 176709.24 | 176709.24  |
|  6 | 1971773275   | 50           | 31.10.2022       | 5059538876   | 1            | Contract 2    |          nan |          nan | Awaiting Release |          nan |           nan | 5491212494    | Supplier 2    | 55082.01  | 55082      | 55082.01  | 55082      | 55081.99  | 55082.01   |
|  7 | 1971181394   | 50           | 01.12.2023       | 5059595708   | 1            | Contract 3    |          nan |          nan | Awaiting Release |          nan |           nan | 5491843084    | Supplier 3    | 224085.05 | 224085     | 224085.05 | 224085     | 224085.05 | 224085.05  |
|  8 | 1971181394   | 150          | 01.12.2023       | 5059965155   | 1            | Contract 3.1  |          nan |          nan | Released         |          nan |           nan | 5491843084    | Supplier 3    | 99375     | 99375      | 99375     | 99375      | 99375     | 99375      |
|  9 | 1971457388   | 50           | 01.12.2023       | 5059206997   | 1            | Contract 4    |          nan |          nan | Awaiting Release |          nan |           nan | 5491394190    | Supplier 4    | 99575     | 99575      | 99575     | 99575      | 99575     | 99575      |
| 10 | 1971457388   | 150          | 01.12.2023       | 5059701873   | 1            | Contract 4.1  |          nan |          nan | Release N/A      |          nan |           nan | 5491394190    | Supplier 4    | 24662     | 24662      | 0         | 0          | 0         | 0          |
| 11 | 1971457388   | 250          | 01.12.2024       | 5059136507   | 1            | Contract 4.2  |          nan |          nan | Released         |          nan |           nan | 5491394190    | Supplier 4    | 6275      | 6275       | 6275      | 6275       | 6275      | 6275       |
| 12 | 1971457388   | 350          | 01.12.2024       | 5059157216   | 1            | Contract 4.3  |          nan |          nan | Released         |          nan |           nan | 5491394190    | Supplier 4    | 49323     | 49323      | 49323     | 49323      | 49323     | 49323      |
| 13 | 1971636172   | 50           | 01.12.2023       | 5059142379   | 1            | Contract 5    |          nan |          nan | Released         |          nan |           nan | 5491120874    | Supplier 5    | 6995      | 6995       | 6995      | 6995       | 6995      | 6995       |
| 14 | 1971636172   | 150          | 01.12.2025       | 5059512979   | 1            | Contract 5.1  |          nan |          nan | Released         |          nan |           nan | 5491120874    | Supplier 5    | 7275      | 7275       | 7275      | 7275       | 7275      | 7275       |
| 15 | 1971685100   | 50           | 01.12.2023       | 5059505074   | 1            | Contract 6    |          nan |          nan | Awaiting Release |          nan |           nan | 5491918747    | Supplier 6    | 13120.29  | 13120      | 13120.29  | 13120      | 13120.29  | 13120.29   |
| 16 | 1971685100   | 150          | 01.12.2024       | 5059826697   | 1            | Contract 6.1  |          nan |          nan | Awaiting Release |          nan |           nan | 5491918747    | Supplier 6    | 250034.47 | 250034     | 250034.47 | 250034     | 250034.47 | 241197.78  |
| 17 | 1971986237   | 150          | 31.01.2025       | 5059658496   | 1            | Contract 7    |          nan |          nan | Released         |          nan |           nan | 5491812407    | Supplier 7    | 221.14    | 221        | 221.14    | 221        | 221.14    | 221.14     |
| 18 | 1971651745   | 250          | 10.12.2024       | 5059170382   | 1            | Contract 8    |          nan |          nan | Released         |          nan |           nan | 5491250905    | Supplier 8    | 184500    | 184500     | 184500    | 184500     | 0         | 0          |
| 19 | 1971028973   | 50           | 01.12.2024       | 5059841440   | 1            | Contract 9    |          nan |          nan | Awaiting Release |          nan |           nan | 5491239775    | Supplier 9    | 34053     | 34053      | 34053     | 34053      | 34053     | 19471.25   |
| 20 | 1971028973   | 150          | 31.03.2025       | 5059317333   | 1            | Contract 9.1  |          nan |          nan | Released         |          nan |           nan | 5491239775    | Supplier 9    | 94235     | 94235      | 94235     | 94235      | 94235     | 91948.6    |
| 21 | 1971028973   | 250          | 01.12.2025       | 5059743084   | 1            | Contract 9.2  |          nan |          nan | Released         |          nan |           nan | 5491239775    | Supplier 9    | 165116    | 165116     | 165116    | 165116     | 1521      | 0          |
| 22 | 1971359059   | 50           | 01.12.2024       | 5059613752   | 1            | Contract 10   |          nan |          nan | Awaiting Release |          nan |           nan | 5491799592    | Supplier 10   | 62841.45  | 62841      | 62841.45  | 62841      | 62841.45  | 60801.45   |
| 23 | 1971218282   | 50           | 01.12.2024       | 5059317983   | 1            | Contract 11   |          nan |          nan | Awaiting Release |          nan |           nan | 5491918747    | Supplier 6    | 128715.15 | 128715     | 128715.15 | 128715     | 128715.15 | 124629.39  |
| 24 | 1971218282   | 150          | 01.12.2025       | 5059960014   | 1            | Contract 11.1 |          nan |          nan | Released         |          nan |           nan | 5491918747    | Supplier 6    | 205508.82 | 205509     | 205508.82 | 205509     | 205508.82 | 205508.82  |
| 25 | 1971218282   | 250          | 31.03.2025       | 5059637318   | 1            | Contract 11.2 |          nan |          nan | Released         |          nan |           nan | 5491918747    | Supplier 6    | 48285.33  | 48285      | 48285.33  | 48285      | 48285.33  | 33370.6    |
| 26 | 1971218282   | 350          | 01.12.2025       | 5059473896   | 1            | Contract 11.3 |          nan |          nan | Released         |          nan |           nan | 5491918747    | Supplier 6    | 342041.76 | 342042     | 342041.76 | 342042     | 57754.16  | 0          |
| 27 | 1971014042   | 250          | 31.03.2025       | 5059980189   | 1            | Contract 12   |          nan |          nan | Released         |          nan |           nan | 5491859296    | Supplier 11   | 35650     | 35650      | 35650     | 35650      | 35650     | 35650      |
| 28 | 1971014042   | 350          | 01.12.2025       | 5059821159   | 1            | Contract 12.1 |          nan |          nan | Released         |          nan |           nan | 5491859296    | Supplier 11   | 35000     | 35000      | 35000     | 35000      | 34962.19  | 34962.19   |
| 29 | 1971540716   | 150          | 10.12.2024       | 5059361829   | 1            | Contract 13   |          nan |          nan | Awaiting Release |          nan |           nan | 5491460259    | Supplier 12   | 2413.81   | 2414       | 2413.81   | 2414       | 2413.81   | 2126.15    |
| 30 | 1971624481   | 50           | 01.12.2025       | 5059472958   | 1            | Contract 14   |          nan |          nan | Released         |          nan |           nan | 5491918747    | Supplier 6    | 586570.79 | 586571     | 586570.79 | 586571     | 129218.33 | 0          |
| 31 | #            | #            | #                | 5059083009   | 1            | Contract 15   |          nan |          nan | Release N/A      |          nan |           nan | 5491279654    | Supplier 13   | 22000     | 22000      | 0         | 0          | 0         | 0          |
| 32 | #            | #            | #                | 5059781876   | 1            | Contract 16   |          nan |          nan | Release N/A      |          nan |           nan | 5491279654    | Supplier 13   | 11000     | 11000      | 0         | 0          | 0         | 0          |
